"City","Tree","DBH","CrownA","CrownB","Size","Location","Latitude","Longitude","first.doy","last.doy","drop.none","drop.early","drop.50","drop.all","color.none","color.early","color.50","color.all","PPT","TMEAN","TMIN01","TMAX07"
"Fort Collins","MASON.18",5.87,4.3,4.4,"tall/skinny","Gordon and Magnolia",40.583154,-105.09245,297,310,NA,297,304,310,NA,NA,297,304,393.360992431641,9.35999965667725,-9.20370006561279,30.5341987609863
"Fort Collins","MASON.19",5.57,4.5,5.5,"short/small","Jackson and Magnolia",40.583154,-105.09245,297,318,NA,NA,297,318,NA,NA,297,318,393.360992431641,9.35999965667725,-9.20370006561279,30.5341987609863
"Fort Collins","MASON.2",1.8,1.8,1.7,"short/small","Olive and Mason",40.583958,-105.07849,290,318,NA,290,310,318,NA,290,NA,304,387.947998046875,9.34999942779541,-9.2810001373291,30.5319995880127
"Fort Collins","MASON.20",2.84,5.5,5.5,"tall/skinny","Jackson and Olive",40.584818,-105.099,297,318,NA,297,318,NA,NA,297,304,318,402.651000976562,9.34999942779541,-9.14009952545166,30.503698348999
"Fort Collins","MASON.3",8.1,3.5,4.5,"tall/skinny","Mountain and Sherwood",40.586824,-105.08416,290,310,NA,NA,290,310,NA,NA,290,304,388.071990966797,9.34999942779541,-9.2834997177124,30.5296001434326
"Fort Collins","MASON.4",3.5,2.9,3.2,"short/small","Cherry and Loomis",40.592116,-105.08678,290,318,NA,290,318,NA,NA,290,297,318,387.544982910156,9.34000015258789,-9.29669952392578,30.5268993377686
"Fort Collins","MASON.5",2.8,2.2,2.4,"short/small","Maple and Park (1)",40.59057,-105.09283,290,318,NA,NA,290,297,NA,NA,290,297,394.005889892578,9.36989974975586,-9.19110012054443,30.5304985046387
"Fort Collins","MASON.6",6.5,5.2,6.8,"tall/skinny","Maple and Park (2)",40.590623,-105.09277,290,318,NA,NA,290,310,NA,NA,290,304,394.005889892578,9.36989974975586,-9.19110012054443,30.5304985046387
"Fort Collins","MASON.7",2.8,3.8,3.4,"short/small","Maple and Park (3)",40.590403,-105.09279,290,318,NA,290,310,318,NA,290,297,304,394.005889892578,9.36989974975586,-9.19110012054443,30.5304985046387
"Fort Collins","MASON.8",3.1,3.1,3.5,"short/small","Park and Laporte",40.589105,-105.09244,290,310,NA,NA,290,304,NA,NA,NA,290,394.005889892578,9.36989974975586,-9.19110012054443,30.5304985046387
"Fort Collins","MASON.9",3.6,2.3,2.4,"short/small","Mack and Mountain",40.58814,-105.094,290,310,NA,290,297,310,NA,290,297,304,394.005889892578,9.36989974975586,-9.19110012054443,30.5304985046387
