"location_id","first.doy","last.doy","drop.none","drop.early","drop.50","drop.all","color.none","color.early","color.50","color.all","site_species_id","administrative_area_level_1","locality","longitude","latitude","PPT","TMEAN","TMIN01","TMAX07","FortCollins"
51,124,124,NA,NA,NA,NA,NA,NA,NA,NA,1600,"AK","Wasilla",-149.465,61.5817,NA,NA,NA,NA,"no"
151,112,138,NA,NA,NA,NA,NA,NA,NA,NA,1309,"MN","Duluth",-92.1,46.8,780.511901855469,4.5499997138977,-15.8100996017456,24.0293998718262,"no"
213,80,109,NA,NA,NA,NA,NA,NA,NA,NA,4185,"CO","Erie",-105.062,40.0362,379.138000488281,10.2699995040894,-8.74170017242432,32.0223999023438,"no"
228,94,94,NA,NA,NA,NA,NA,NA,NA,NA,33010,"NM","Cimarron",-105.098,36.7961,480.246002197266,6.42999982833862,-11.2712001800537,25.9555988311768,"no"
466,87,297,NA,NA,297,NA,NA,NA,291,NA,3174,"MT","Missoula",-114,46.8667,380.634979248047,7.61999988555908,-7.25,29.5464000701904,"no"
857,73,75,NA,NA,NA,NA,NA,NA,NA,NA,13274,"CO","Longmont",-105.077,40.1992,372.401000976562,10.0599994659424,-9.10760021209717,31.9729995727539,"no"
1167,124,139,NA,NA,NA,NA,NA,NA,NA,NA,1960,"CO","Green Mountain Falls",-105.013,38.9309,558.455993652344,6.00999975204468,-11.8800992965698,26.279899597168,"no"
1174,84,87,NA,NA,NA,NA,NA,NA,NA,NA,617,"MI","Calumet Twp",-88.442,47.2734,826.488952636719,5.00999975204468,-12.3379993438721,23.710599899292,"no"
1177,92,119,NA,NA,NA,NA,NA,NA,NA,NA,1904,"MN","Duluth",-92.0961,46.8157,803.135009765625,4.17999982833862,-16.5397987365723,24.0909996032715,"no"
1207,140,140,NA,NA,NA,NA,NA,NA,NA,NA,2437,"WY","Cheyenne",-104.74,41.1372,389.177001953125,8.05000019073486,-8.41459941864014,28.9998989105225,"no"
1247,92,312,NA,NA,291,NA,NA,NA,282,NA,2119,"NE","Lincoln",-96.7915,40.7903,779.320007324219,10.7898998260498,-9.72849941253662,30.8618984222412,"no"
1276,71,71,NA,NA,NA,NA,NA,NA,NA,NA,796,"OR","Bend",-121.209,44.0917,246.125,8.46000003814697,-4.32100009918213,28.7964992523193,"no"
